Id Cidade                       Cidade                                              Id Estado                       Sigla Estado Estado
------------------------------- --------------------------------------------------- ------------------------------- ------------ ---------------------
1;                              Acrelandia;                                         1;                              AC;          Acre;
2;                              Assis Brasil;                                       1;                              AC;          Acre;
3;                              Brasileia;                                          1;                              AC;          Acre;
4;                              Bujari;                                             1;                              AC;          Acre;
5;                              Capixaba;                                           1;                              AC;          Acre;
6;                              Cruzeiro do Sul;                                    1;                              AC;          Acre;
7;                              Epitaciolandia;                                     1;                              AC;          Acre;
8;                              Feijo;                                              1;                              AC;          Acre;
9;                              Jordao;                                             1;                              AC;          Acre;
10;                             Mancio Lima;                                        1;                              AC;          Acre;
11;                             Manoel Urbano;                                      1;                              AC;          Acre;
12;                             Marechal Thaumaturgo;                               1;                              AC;          Acre;
13;                             Placido de Castro;                                  1;                              AC;          Acre;
14;                             Porto Acre;                                         1;                              AC;          Acre;
15;                             Porto Walter;                                       1;                              AC;          Acre;
16;                             Rio Branco;                                         1;                              AC;          Acre;
17;                             Rodrigues Alves;                                    1;                              AC;          Acre;
18;                             Santa Rosa;                                         1;                              AC;          Acre;
19;                             Sena Madureira;                                     1;                              AC;          Acre;
20;                             Senador Guiomard;                                   1;                              AC;          Acre;
21;                             Tarauaca;                                           1;                              AC;          Acre;
22;                             Xapuri;                                             1;                              AC;          Acre;
23;                             Agua Branca;                                        2;                              AL;          Alagoas;
24;                             Alazao;                                             2;                              AL;          Alagoas;
25;                             Alecrim;                                            2;                              AL;          Alagoas;
26;                             Anadia;                                             2;                              AL;          Alagoas;
27;                             Anel;                                               2;                              AL;          Alagoas;
28;                             Anum Novo;                                          2;                              AL;          Alagoas;
29;                             Anum Velho;                                         2;                              AL;          Alagoas;
30;                             Arapiraca;                                          2;                              AL;          Alagoas;
31;                             Atalaia;                                            2;                              AL;          Alagoas;
32;                             Baixa da Onca;                                      2;                              AL;          Alagoas;
33;                             Baixa do Capim;                                     2;                              AL;          Alagoas;
34;                             Balsamo;                                            2;                              AL;          Alagoas;
35;                             Bananeiras;                                         2;                              AL;          Alagoas;
36;                             Barra de Santo Antonio;                             2;                              AL;          Alagoas;
37;                             Barra de Sao Miguel;                                2;                              AL;          Alagoas;
38;                             Barra do Bonifacio;                                 2;                              AL;          Alagoas;
39;                             Barra Grande;                                       2;                              AL;          Alagoas;
40;                             Batalha;                                            2;                              AL;          Alagoas;
41;                             Batingas;                                           2;                              AL;          Alagoas;
42;                             Belem;                                              2;                              AL;          Alagoas;
43;                             Belo Monte;                                         2;                              AL;          Alagoas;
